Time,Avg_Latency_ms,Throughput_RPS,Tokens_Lost,Success_Rate
95,2.98,1297.5,0,100.0
95,2.86,1283.8,0,100.0
96,2.53,1165.9,0,100.0
96,2.47,1355.5,0,100.0
97,3.02,1251.8,0,100.0
97,2.93,1100.3,0,100.0
98,2.77,1240.8,0,100.0
98,3.2,1151.8,0,100.0
99,2.97,1367.5,0,100.0
99,2.94,1205.9,0,100.0
100,3.03,1218.2,0,100.0
100,3.0,1246.2,0,100.0
101,3.32,1355.8,0,100.0
101,2.53,1380.6,0,100.0
102,2.17,1186.7,0,100.0
102,2.56,1402.4,0,100.0
103,2.31,1355.4,0,100.0
103,2.96,1203.4,0,100.0
104,3.36,1276.6,0,100.0
105,2.32,1286.4,0,100.0
105,2.89,1507.9,0,100.0
106,2.79,1452.4,0,100.0
106,2.95,1360.4,0,100.0
107,2.67,1417.6,0,100.0
107,3.21,1291.8,0,100.0
108,2.89,1490.2,0,100.0
108,3.11,1491.8,0,100.0
109,3.07,1279.6,0,100.0
109,2.85,1390.5,0,100.0
110,3.68,1074.8,0,100.0
110,2.87,1313.9,0,100.0
111,3.39,1325.0,0,100.0
111,2.37,1281.0,0,100.0
112,3.01,1424.7,0,100.0
112,2.77,1345.9,0,100.0
113,2.82,1281.9,0,100.0
113,3.08,1355.3,0,100.0
114,3.24,1256.3,0,100.0
114,2.65,1536.4,0,100.0
115,3.11,1386.5,0,100.0
115,3.95,1068.8,0,100.0
116,2.79,1301.8,0,100.0
116,3.11,1107.6,0,100.0
117,2.72,1294.9,0,100.0
117,2.99,1336.9,0,100.0
118,2.46,1261.6,0,100.0
118,2.57,1465.5,0,100.0
119,2.68,1372.3,0,100.0
119,3.1,1134.8,0,100.0
120,3.92,1095.0,0,100.0
120,2.93,1410.8,0,100.0
121,2.73,1228.1,0,100.0
121,3.62,1083.5,0,100.0
122,2.65,1531.6,0,100.0
122,2.23,1492.1,0,100.0
123,2.67,1166.1,0,100.0
123,3.11,986.7,0,100.0
124,3.39,1030.9,0,100.0
124,3.36,1070.1,0,100.0
125,2.9,1356.7,0,100.0
125,2.19,1361.8,0,100.0
126,2.37,1199.3,0,100.0
126,2.99,1251.2,0,100.0
127,2.75,1283.1,0,100.0
127,2.56,1469.1,0,100.0
128,3.66,1115.5,0,100.0
128,2.8,1277.3,0,100.0
129,2.24,1402.1,0,100.0
129,2.82,1114.4,0,100.0
130,2.51,1046.7,0,100.0
130,3.03,1218.6,0,100.0
131,3.03,1182.6,0,100.0
131,2.77,1088.1,0,100.0
132,2.3,1132.5,0,100.0
133,2.35,1262.4,0,100.0
133,4.58,776.0,0,100.0
